2011-10-26 21:27:02 Notice: Notice (8): Undefined variable: peakMemory in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 36]
2011-10-26 21:27:02 Notice: Notice (8): Undefined variable: requestTime in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 55]
2011-10-26 21:48:04 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 21:59:52 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 22:02:32 Notice: Notice (8): Undefined variable: gear in [/home/diogo/Develop/Cake13/birthright/views/patrimonies/admin_index.ctp, line 48]
2011-10-26 22:02:32 Notice: Notice (8): Undefined variable: gear in [/home/diogo/Develop/Cake13/birthright/views/patrimonies/admin_index.ctp, line 52]
2011-10-26 22:04:16 Notice: Notice (8): Undefined variable: gear in [/home/diogo/Develop/Cake13/birthright/views/patrimonies/admin_index.ctp, line 48]
2011-10-26 22:04:54 Notice: Notice (8): Undefined index: patrimonies in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 22:05:43 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 22:06:15 Notice: Notice (8): Undefined index: patrimonies in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 22:06:17 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 22:07:37 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
